class|name
22|Amarres plásticos de uso doméstico
22|Amarres plásticos para uso en el jardín
22|Bolsas de algodón para uso industrial
22|Bolsas de fibra química para uso industrial
22|Bolsas de materias textiles para embalar
22|Bolsas de paja de arroz (tawara)
22|Bolsas de yute para uso industrial
22|Bolsas protectoras de tela para conservación de bolsos cuando no se usan
22|Bramante de embalar
22|Bramante para atar hecho de fibras textiles naturales
22|Bramantes
22|Cables no metálicos
22|Capullos de gusanos de seda
22|Cordaje
22|Cordeles
22|Cordones hechos de fibras textiles
22|Corrales de red para la piscicultura
22|Correas no metálicas para manipular cargas
22|Crin
22|Crin de caballo que no sea para uso textil ni para cepillos
22|Cuerda
22|Cuerdas
22|Cuerdas de anclaje
22|Cuerdas de montañismo
22|Cuerdas de paja
22|Cuerdas de pasamanos
22|Cuerdas de remolque para automóviles
22|Cuerdas elásticas
22|Cuerdas para remolcar vehículos
22|Cuerdas para uso marino
22|Cuerdas y cuerdas sintéticas
22|Edredón (plumas)
22|Embalajes de paja para botellas
22|Eslingas de carga hechas de tela
22|Eslingas de carga no metálicas
22|Fibra de cáñamo
22|Fibra de cáñamo en bruto
22|Fibra de carbón para uso textil
22|Fibra de rafia (en bruto)
22|Fibra de sisal en bruto
22|Fibra de yute (en bruto)
22|Fibras de algodón
22|Fibras de cáñamo
22|Fibras de lino en bruto
22|Fibras de seda
22|Fibras de sílice vitrificado para uso textil
22|Fibras de textiles en bruto
22|Fibras de vidrio para uso textil
22|Fibras químicas para uso textil
22|Fibras semisintéticas para uso textil
22|Fibras sintéticas (de uso textil)
22|Fibras sintéticas para uso textil
22|Filamentos textiles
22|Fundas no ajustables para embarcaciones y vehículos acuáticos
22|Guata de algodón para futones
22|Guata de algodón para prendas de vestir
22|Hamacas (redes)
22|Kapoc (miraguano)
22|Lana (materia prima)
22|Lana de madera (virutas de madera)
22|Lonas
22|Lonas impermeables para el suelo
22|Lonas para barcos
22|Lonas que no sean para barcos
22|Lonas universales de materias plásticas
22|Madejas de seda cruda
22|Mantas de materias textiles para curar hormigón
22|Material de embalaje hecho de arpillera para plantas
22|Pelo áspero de animal
22|Pelo de alpaca
22|Pelo de angora
22|Pelo de cabra de Angora
22|Pelo de mapache (no para uso textil ni para cepillos)
22|Plumas y plumones
22|Plumones para material de relleno
22|Recipientes de materias textiles para embalaje para uso industrial
22|Redes de algodón
22|Redes de camuflaje para la caza
22|Redes de camuflaje para uso de radares
22|Redes de camuflaje para uso visual
22|Redes de cáñamo
22|Redes de fibra de vidrio
22|Redes de fibra química
22|Redes de pesca
22|Redes de pesca comerciales
22|Redes de seda
22|Redes para peces
22|Redes que no sean metálicas ni de amianto
22|Sacos para transportar y almacenar productos a granel
22|Sogas hechas de cáñamo
22|Tela para velas
22|Telas de vinilo para el suelo
22|Tiendas hechas de materias textiles
22|Tiras para envolver o atar
22|Toldos de lona alquitranada
22|Toldos hechos de materiales recubiertos de plástico
22|Trampas de red
22|Velas de navegación
22|Velas para catamaranes
22|Velas para tablas de windsurf
22|Velas para yates
22|Vellón (lana)
22|Virutas de madera
22|Virutas de madera para relleno
22|Yute
