class|name
1|Abonos orgánicos
1|Aceleradores de vulcanización (preparaciones químicas)
1|Acetal
1|Acetaldehído (etanal)
1|Acetanilida
1|Acetato de butilo
1|Acetato de metilo
1|Acetato de octilo
1|Acetato de vinilo
1|Acetatos
1|Acetileno
1|Acetofenona
1|Acetona
1|Ácido acético
1|Ácido acético glacial
1|Ácido adípico
1|Ácido antranílico
1|Ácido arsenioso
1|Ácido benzoico
1|Ácido bórico
1|Ácido carbónico
1|Ácido cítrico
1|Ácido clorhídrico (cloruro de hidrógeno)
1|Ácido cloroacético
1|Ácido clorosulfónico
1|Ácido cólico
1|Ácido crotónico
1|Ácido esteárico
1|Ácido fórmico
1|Ácido fosfórico
1|Ácido ftálico
1|Ácido glutámico como materia prima para la fabricación de cosméticos
1|Ácido iódico
1|Ácido metacrílico
1|Ácido molibdénico
1|Ácido monocloroacético
1|Ácido nítrico
1|Ácido oleico
1|Ácido oxálico
1|Ácido palmítico
1|Ácido perclórico
1|Ácido pícrico
1|Ácido piroleñoso
1|Ácido propiónico
1|Ácido succínico
1|Ácido sulfínico
1|Ácido sulfúrico
1|Ácido sulfuroso
1|Ácido tánico
1|Ácido tartárico
1|Ácido túngstico
1|Ácido valérico
1|Ácidos clorados
1|Ácidos para decapado de metales
1|Acrilonitrilo
1|Actinio
1|Adhesivos (pegamentos) para la industria
1|Adhesivos con fines industriales
1|Adhesivos conductores para su uso en la industria
1|Adhesivos de plástico que no sean de papelería ni uso doméstico
1|Adhesivos de poliuretano
1|Adhesivos para aplicación de azulejos de pisos
1|Adhesivos para baldosas de revestimiento
1|Adhesivos para la colocación de baldosas de cerámica
1|Adhesivos para papel tapiz
1|Adhesivos para productos fabricados en cemento
1|Adhesivos para revestimiento y sellado para uso industrial
1|Adhesivos para revestimientos cerámicos y para pavimentos ornamentales
1|Adhesivos para su uso en la encuadernación de libros
1|Adhesivos para su uso en la fabricación de contrachapados
1|Adhesivos para su uso en la fabricación de muebles
1|Adhesivos para su uso en la fabricación de revestimiento de paredes
1|Adhesivos para suelos, techos y baldosas de revestimiento
1|Adhesivos para techos
1|Adhesivos para uso en la industria de la construcción
1|Adhesivos para uso industrial
1|Adhesivos que no sean de papelería ni para uso doméstico
1|Adhesivos y pegamentos para uso industrial
1|Aditivo a base de óxido de hierro para arenas de fundición en la fabricación de piezas de fundición metálicas
1|Aditivo químico de combustible de sobrealimentador de octanaje
1|Aditivos de detergentes para usar con aceite de motor
1|Aditivos detergentes para carburantes
1|Aditivos químicos para aceites
1|Aditivos químicos para el tratamiento de combustible
1|Aditivos químicos para gasolina
1|Aditivos químicos para perforación en lodos
1|Agar-agar
1|Agentes antiespumantes
1|Agentes catalíticos
1|Agentes de curación para resina sintética
1|Agentes de lavado para radiadores de automóvil
1|Agentes de revestimiento de polímeros para el papel
1|Agentes desengrasantes que no sean para uso doméstico
1|Agentes desmoldantes de asfalto (químicos)
1|Agentes dispersantes
1|Agentes humectantes
1|Agentes para eliminar aceites
1|Agentes para mejorar los suelos
1|Agentes químicos para impregnar o revestir textiles, pieles y cuero, no tejidos y telas
1|Agentes químicos para la fabricación de materias tintóreas
1|Agentes químicos para revestimiento retardante de fuego para materias textiles
1|Agua acidulada para recargar acumuladores
1|Agua acidulada para recargar baterías
1|Agua amoniacal
1|Agua de mar para uso industrial
1|Agua desionizada
1|Agua destilada
1|Agua pesada
1|Álcali volátil (amoniaco) para uso industrial
1|Álcalis
1|Alcanfor para uso industrial
1|Alcohol alílico
1|Alcohol amílico (pentanol)
1|Alcohol bencílico
1|Alcohol cetílico
1|Alcohol etílico
1|Alcohol hexílico
1|Alcohol laúrico
1|Alcohol metílico (metanol)
1|Alcohol oleico
1|Alcohol para uso industrial
1|Alcohol terc-butílico para uso industrial
1|Alcoholes de azúcar para uso industrial
1|Aldehído de amoniaco
1|Aldehídos y cetonas
1|Alifáticos
1|Almidón para uso industrial
1|Alquilbenceno
1|Alumbre
1|Alumbre amónico
1|Alumbre de cromo
1|Alumbre de manganeso
1|Alumbre de sodio
1|Aluminato de calcio
1|Alunita
1|Americio
1|Anhídrido crómico
1|Anhídrido fosfórico
1|Anhídrido ftálico
1|Anhídridos
1|Anilina
1|Anisola
1|Anticongelante para sistemas de refrigeración de vehículos
1|Anticongelantes
1|Antidetonantes para motores de combustión interna
1|Antimoniato
1|Antimonio
1|Antraceno
1|Arcilla expandida para el crecimiento de plantas hidropónicas
1|Argón
1|Arsénico
1|Ascorbato de calcio para la industria alimentaria
1|Ascorbato de sodio para la industria alimentaria
1|Aspartamo
1|Azufre (elemento no metálico)
1|Azufre (mineral no metálico)
1|Bacterias (microorganismos) que no sean de uso médico o veterinario
1|Baños de galvanización
1|Bario
1|Bario sintético
1|Baritina (barita, espato pesado)
1|Bauxita
1|Bentonita
1|Benzaldehído
1|Benzofenona
1|Berkelio
1|Bicarbonato de amonio
1|Bicarbonato de sodio
1|Bicromato de amonio
1|Bicromato de sodio
1|Bioestimulantes para la estimulación del crecimiento de plantas
1|Biofertilizantes
1|Biofertilizantes no químicos
1|Bismuto
1|Bisulfito de sodio
1|Bisulfuro de calcio
1|Borneol
1|Boro
1|Bromo
1|Bromobenceno
1|Bromoformo
1|Bromuro de amonio
1|Bromuro de sodio
1|Butadieno
1|Butanol
1|Butileno
1|Calcio
1|Californio
1|Calomelano (cloruro de mercurio)
1|Caolín
1|Caolín calcinado para uso industrial
1|Carbazol
1|Carbón de leña para uso como acondicionador de suelos
1|Carbón de leña para uso hortícola
1|Carbonato de amonio
1|Carbonato de calcio
1|Carbonato de calcio ligero
1|Carbonato de cobre
1|Carbonato de manganeso
1|Carbonato de plomo
1|Carbonato de sodio
1|Carbono
1|Carburo de calcio
1|Carburo de niobio
1|Carburo de silicio
1|Carburo de tungsteno
1|Carburos
1|Catalizadores bioquímicos
1|Catalizadores para procesos de oxidación
1|Catalizadores para procesos químicos y bioquímicos
1|Catalizadores para su uso en la fabricación de plásticos (químicos)
1|Catalizadores para uso en la fabricación de sintéticos, cauchos y polímeros
1|Células madre para fines de investigación
1|Células madre para investigación o fines científicos
1|Celulosa
1|Celulosa para uso en la fabricación de detergentes
1|Cemento de caucho para reparar neumáticos
