class|name
14|Adornos de metales preciosos en la forma de joyas
14|Adornos de metales preciosos para calzado
14|Ágata y ónice (en bruto)
14|Aleaciones de metales preciosos
14|Aleaciones de plata en bruto
14|Alfileres de adorno de metales preciosos
14|Alfileres de adorno para solapa
14|Alfileres de corbata
14|Alfileres de corbata de metales preciosos
14|Alfileres de joyería
14|Alfileres de joyería para su uso en sombreros
14|Alfileres de solapa (joyería)
14|Alianzas de boda
14|Amuletos (artículos de joyería)
14|Anillos (artículos de joyería)
14|Anillos chapados en oro
14|Anillos de boda
14|Anillos de compromiso
14|Aparatos e instrumentos cronométricos
14|Aparatos para cronometraje de eventos deportivos
14|Aros para perforaciones corporales
14|Artículos de bisutería
14|Artículos de joyería
14|Artículos de joyería chapados con metales preciosos
14|Artículos de joyería de diamantes
14|Artículos de joyería de imitación
14|Artículos de joyería e imitaciones de artículos de joyería
14|Artículos de joyería para la cabeza
14|Artículos de joyería y piedras preciosas
14|Artículos de joyería y relojes
14|Artículos de relojería e instrumentos cronométricos y sus estuches
14|Artículos de relojería e instrumentos cronométricos y sus partes
14|Biseles de reloj
14|Brazalete (artículos de joyería)
14|Brazaletes
14|Brazaletes de plástico en forma de joyas
14|Broches para bufandas con joyas
14|Bustos de metales preciosos
14|Cadenas de joyería
14|Cadenas de joyería de metales preciosos para pulseras
14|Cadenas de reloj
14|Cadenas para llaves como joyería (dijes o llaveros)
14|Cadenas para llevar al cuello
14|Cajas de metales preciosos
14|Cajas de presentación para piedras preciosas
14|Cajas de presentación para relojes
14|Cajas de reloj
14|Cajas de reloj de pulsera
14|Cajas decorativas hechas de metales preciosos
14|Cajas exhibidoras especiales para relojes (watch winders)
14|Calcedonia
14|Camafeos (joyería)
14|Cápsulas de metales preciosos para botellas
14|Carcasas de reloj
14|Cierres de relojes
14|Clips de joyería para adaptar aros de piercing a aros de clip
14|Cofres para relojes y joyas
14|Colgantes de ámbar (joyería)
14|Colgantes de ámbar prensado (joyería)
14|Collares
14|Collares (artículos de joyería)
14|Collares con peto
14|Coronas de reloj
14|Cristales de reloj
14|Cronógrafos como relojes
14|Cronómetros
14|Cronómetros manuales
14|Despertadores
14|Diademas
14|Diales para fabricas relojes y relojes de pulsera
14|Diamantes cortados
14|Diamantes en bruto
14|Dijes de joyería de metales preciosos o chapados
14|Dijes de metales preciosos o chapados con los mismos
14|Esferas de reloj de pulsera
14|Esmeralda
14|Espinelas
14|Estatuas de metales preciosos
14|Estatuas de metales preciosos y sus aleaciones
14|Estatuillas de metales preciosos
14|Estatuillas de metales preciosos y sus aleaciones
14|Estuches adaptados para anillos de joyería para protegerlos del impacto, la abrasión y el daño a las argollas y piedras
14|Estuches de madera para artículos de joyería
14|Estuches para joyas
14|Estuches para joyas de metales preciosos
14|Estuches para relojería
14|Estuches para relojes
14|Extensibles de reloj
14|Extensibles metálicos, cuero o de materias plásticas para reloj
14|Extensibles para reloj de cuero
14|Extensibles y correas para reloj
14|Figuras de metales preciosos
14|Figuras modelo (adornos) de metales preciosos
14|Gargantillas
14|Gemas
14|Gemas preciosas o semipreciosas
14|Gemelos
14|Gemelos de metales preciosos
14|Gemelos de porcelana
14|Gemelos y pasadores de corbata
14|Hebillas para extensibles de reloj
14|Insignias de metales preciosos
14|Instrumentos cronométricos y relojes
14|Iridio y sus aleaciones
14|Jade (artículos de joyería)
14|Joyas
14|Joyas preciosas
14|Joyería de filigrana de oro
14|Joyería identificativa institucional
14|Joyería para damas
14|Joyería, incluyendo bisutería y bisutería de plástico
14|Joyeros
