class|name
39|Abastecimiento (distribución) de calefacción
39|Acompañamiento de viajeros
39|Almacenaje de materiales peligrosos
39|Almacenaje de productos
39|Almacenamiento de alimentos agrícolas
39|Almacenamiento de combustibles de aviación
39|Almacenamiento de desechos radiactivos
39|Almacenamiento de equipaje
39|Almacenamiento de mercancías
39|Almacenamiento de ropa
39|Almacenamiento de soportes físicos de datos o documentos electrónicos
39|Almacenamiento temporal de entregas
39|Almacenamiento y reparto de productos
39|Alquilado de embarcaciones
39|Alquiler de aeronaves
39|Alquiler de almacenes (depósitos)
39|Alquiler de aparatos y máquinas de congelación
39|Alquiler de autobuses
39|Alquiler de autocaravanas
39|Alquiler de automóviles
39|Alquiler de aviones
39|Alquiler de barcos
39|Alquiler de bicicleta
39|Alquiler de bicicletas
39|Alquiler de camiones
39|Alquiler de camiones y remolques
39|Alquiler de canoas
39|Alquiler de carriolas
39|Alquiler de coches de carreras
39|Alquiler de coches de hidrógeno
39|Alquiler de congeladores para uso comercial
39|Alquiler de congeladores para uso doméstico
39|Alquiler de contenedores de almacenamiento
39|Alquiler de contenedores para transportes
39|Alquiler de equipos de GPS para navegación
39|Alquiler de espacio en almacén
39|Alquiler de garajes
39|Alquiler de máquinas y aparatos de carga y descarga
39|Alquiler de motocicletas
39|Alquiler de palés
39|Alquiler de plataformas de elevación autopropulsadas para el transporte
39|Alquiler de plazas de estacionamiento
39|Alquiler de refrigeradores
39|Alquiler de refrigeradores y congeladores para uso doméstico
39|Alquiler de sillas de ruedas
39|Alquiler de sistemas mecánicos de estacionamiento
39|Alquiler de vehículos
39|Alquiler de vehículos de tracción y remolques
39|Alquiler de vehículos eléctricos
39|Alquiler de vehículos recreativos
39|Alquiler de vehículos y aparatos de locomociónaérea
39|Alquiler o arrendamiento de ambulancias (transporte)
39|Aparcamiento de aeronaves
39|Arrendamiento de coches ferroviarios
39|Arrendamiento de máquinas empacadoras
39|Arrendamiento de motos para transporte
39|Arriendo de container de almacenamiento
39|Coordinación de preparativos de viaje para individuos o para grupos
39|Corretaje de barcos
39|Corretaje de transportación de carga
39|Corretaje de transporte
39|Corretaje de transporte de carga
39|Corretaje de transporte de carga y transporte
39|Custodia temporal de pertenencias personales
39|Descarga de mercancías
39|Distribución de agua
39|Distribución de electricidad
39|Distribución de energía
39|Distribución de energía renovable
39|Distribución de paquetes
39|Distribución y suministro de agua
39|Distribución y transmisión de electricidad
39|Embalaje de mercancías
39|Embalaje y depósito de mercancías
39|Entrega de agua embotellada a hogares y oficinas
39|Entrega de flores
39|Envío de mercancías
39|Facilitación de información de viajes
39|Facilitación de información sobre carreteras y tráfico
39|Facilitación de información sobre depósito de mercancía en almacenes
39|Facilitación de instalaciones de atracaderos para navíos
39|Fletamento de autobuses
39|Gestión de flujo del tráfico de vehículos mediante redes y tecnologías de comunicación avanzadas
39|Información de viajes
39|Información sobre tráfico
39|Información sobre transporte
39|Manipulación de carga
39|Operación de transbordador
39|Organización de cruceros
39|Organización de excursiones
39|Organización de viajes
39|Organización de viajes y cruceros
39|Organización de viajes, excursiones y cruceros
39|Planificación de rutas de viaje
39|Preparación de visados de viajes, pasaportes y documentos de viaje para personas que viajan al extranjero
39|Préstamo y alquiler de aviones
39|Provisión de estacionamiento de vehículos
39|Recogida y reparto de cartas
39|Reflotamiento de barcos
39|Remolcado de aviones
39|Remolque de automóviles para emergencias
39|Remolque marítimo
39|Reparto de mensajes (mensajero)
39|Reparto de mercancías
39|Reparto de mercancías encargadas por correspondencia
39|Reparto de periódicos
39|Reparto de pizzas
39|Reparto y almacenamiento de productos
39|Reserva de billetes de viaje
39|Reserva para alquiler de automóviles
39|Reservas de plazas de viaje
39|Reservas de transporte
39|Salvamento de barcos
39|Salvamento de buques en peligro
39|Servicio de alquiler de coches con conductor
39|Servicio de rompehielos para la industria marítima
39|Servicios chárter de yate y barco
39|Servicios de aeropuerto que consisten en la provisión de salas de espera para el uso de pasajeros en tránsito
39|Servicios de agencia de viajes, en concreto reservas y contratación de transporte
39|Servicios de agencia para la organización del transporte de personas
