class|name
12|Accionamientos eléctricos para vehículos
12|Acoplamientos de ejes para vehículos terrestres
12|Aeronaves
12|Aeronaves de rotor basculante
12|Aeronaves eléctricas
12|Aeronaves ligeras
12|Alarmas antirrobo para vehículos
12|Alarmas de seguridad para vehículos
12|Aletas anti-salpicaduras para vehículos
12|Amortiguadores de aire para componentes de suspensión de vehículos para el amortiguamiento de asientos y cabinas de conductor
12|Amortiguadores para automóviles
12|Amortiguadores para bicicletas
12|Amortiguadores para motocicletas
12|Aparatos antirrobo de vehículos
12|Aparatos de advertencia antirrobo para vehículos automóviles
12|Arneses de paracaídas
12|Arneses de seguridad para niños en asientos de vehículos
12|Arneses para asientos de seguridad para vehículos automóviles
12|Asientos de automóvil para niños
12|Asientos de seguridad de animales de compañía para vehículos
12|Asientos de seguridad para coches
12|Asientos de vehículos automóviles
12|Asientos elevadores de vehículos para niños
12|Asientos infantiles de seguridad para coches
12|Asientos infantiles de seguridad para vehículos
12|Asientos infantiles de seguridad para vehículos automóviles
12|Asientos para autos ferroviarios
12|Aspas de rotores para helicópteros
12|Autobuses
12|Autogiros
12|Automotores de combustión interna
12|Automóviles
12|Automóviles alimentados con hidrógeno
12|Automóviles eléctricos enchufables
12|Automóviles híbridos
12|Automóviles híbridos enchufables
12|Avión a reacción
12|Aviones
12|Aviones de turbopropulsor
12|Aviones de turborreactor
12|Aviones eléctricos
12|Aviones propulsados por hélice
12|Aviones ultra ligeros
12|Avisadores acústicos para motocicletas
12|Bacas
12|Bandas de rodadura para recauchutar neumáticos
12|Bandas de rodadura para recauchutar neumáticos de vehículos forestales
12|Bandas de rodadura para recauchutar neumáticos de vehículos utilizados en la industria de la ingeniería civil
12|Bandas de rodamiento para el recauchutado de neumáticos para vehículos de ingeniería civil
12|Barcas de remos japonesas de fondo plano (tenmasen)
12|Barcos
12|Barcos de pasajeros
12|Barcos de pesca
12|Barcos jon
12|Barras de torsión para vehículos automóviles
12|Barras de tracción
12|Barras de tracción para remolques
12|Bastidores de motocicletas
12|Bicicletas
12|Bicicletas de agua
12|Bicicletas de carreras
12|Bicicletas de carreras en carretera
12|Bicicletas de montaña
12|Bicicletas de paseo
12|Bicicletas de reparto
12|Bicicletas eléctricas
12|Bicicletas eléctricas plegables
12|Bicicletas motorizadas.
12|Bicicletas plegables
12|Bicicletas tándem
12|Bocinas de advertencia
12|Bocinas de bicicleta
12|Bocinas para vehículos
12|Bocinas para vehículos automóviles
12|Bolsas de aire (dispositivos de seguridad para automóviles)
12|Bolsas de aire para vehículos
12|Bombas de aire para automóviles
12|Bombas de aire para hinchar neumáticos de bicicleta
12|Bombas de aire para motocicletas
12|Bombas de aire para vehículos a motor de dos ruedas o bicicletas
12|Bombas para inflar neumáticos de vehículos
12|Botavaras para barcos
12|Botes automóviles
12|Botes de remos
12|Botes inflables
12|Brazos de suspensión para teleféricos
12|Brazos oscilantes para motocicletas
12|Bujes de ruedas de automóviles
12|Bujes para ruedas de vehículos
12|Buques de cableado
12|Buques de carga
12|Buses eléctricos
12|Cables de freno para vehículos
12|Cadenas antideslizantes para neumáticos de vehículos
12|Cadenas de accionamiento para vehículos terrestres
12|Cadenas de bicicleta
12|Cadenas de rotación para vehículos terrestres
12|Cadenas de transmisión para motocicletas
12|Cadenas de transmisión para vehículos terrestres
12|Cadenas para bicicletas
12|Cadenas para vehículos automóviles
12|Cajas de cambios automáticas para vehículos terrestres
12|Cajas de cambios para vehículos automóviles
12|Cajas de cambios para vehículos terrestres
12|Cajas de techo (portaequipajes) para vehículos
12|Cámaras de aire para bicicletas
12|Cámaras de aire para ciclos
12|Cámaras de aire para neumáticos de aeronaves
12|Cámaras de aire para neumáticos de automóviles
12|Cámaras de aire para neumáticos de motocicletas
12|Cámaras de aire para neumáticos de ruedas de vehículos
12|Cámaras de aire para neumáticos de vehículos
12|Cámaras de aire para vehículos automóviles de dos ruedas o bicicletas
12|Cámaras de neumático para ruedas de vehículos
12|Cambios de velocidad para vehículos terrestres
12|Camiones
12|Camiones cisterna
12|Camiones de riego
12|Camiones ligeros
12|Camiones para minas
12|Camionetas pickup
12|Cámpers (vehículos recreativos)
12|Candados antirrobo para uso en volantes de automóviles
12|Capós de automóviles
12|Capós de vehículos
12|Caravanas (remolques)
12|Carretas
12|Carretillas
12|Carretillas con ruedas
12|Carretillas elevadoras
12|Carretillas para manipular productos
12|Carriolas
12|Carritos (carros móviles)
12|Carritos de hospital para administrar medicación
12|Carritos de plataforma
12|Carritos manuales para vías férreas
12|Carrocería para vehículos de motor
12|Carrocerías
12|Carrocerías blindadas para vehículos
12|Carrocerías de automóviles
12|Carrocerías de vehículos
12|Carrocerías para aeronaves
12|Carrocerías para autos ferroviarios
12|Carrocerías para remolques
12|Carrocerías para vehículos a motor
12|Carros de golf motorizados
12|Carros de hospital
12|Carros de supermercado
12|Carros y carretillas de tracción humana
12|Carruajes tirados por caballo
12|Cárteres para componentes de vehículos automóviles que no sean para motores
12|Casas flotantes
12|Cestas adaptadas para bicicletas
12|Chalupas
12|Chasis para vagones de ferrocarril
12|Chasises para vehículos automóviles
12|Ciclomotores
12|Ciclomotores eléctricos
12|Cigüeñales para motocicletas
12|Cilindros de freno
12|Cilindros de freno principal
12|Cinta de agarre para motocicletas
12|Cinturones de seguridad de vehículo para niños
12|Cinturones de seguridad para asientos de vehículos
12|Cinturones de seguridad para vehículos
