class|name
24|Arpillera
24|Banderas con brocado
24|Banderas de plástico
24|Banderas de tela
24|Banderines y banderas de materias textiles
24|Bayetas de baño
24|Blondas de tela
24|Caminos de mesa de materiales plásticos
24|Cañamazo para tapicería o bordado
24|Cenefas de tela
24|Cobertores
24|Cobertores (edredones)
24|Cobertores de felpa
24|Cobertores de materias textiles
24|Colchas
24|Colchas de felpa
24|Cortinajes
24|Cortinajes (telones tupidos)
24|Cortinas
24|Cortinas de baño
24|Cortinas de ducha
24|Cortinas de materias plásticas
24|Cortinas de materias textiles
24|Cortinas de materias textiles o plásticas
24|Cortinas de vinilo
24|Cortinas para exteriores e interiores
24|Cubiertas de edredón
24|Cubrecamas (mantas)
24|Cubrecolchones
24|Doseles de cama
24|Edredones
24|Edredones (cubrecamas acolchados)
24|Edredones de punto
24|Edredones de tela de toalla
24|Edredones para futones
24|Edredones rellenos de seda
24|Etiquetas de materiales textiles para identificación de prendas de vestir
24|Etiquetas de materias textiles
24|Etiquetas de tela
24|Etiquetas textiles impresas
24|Faldones de cama
24|Fibras de poliéster para uso textil
24|Fieltro de prensa
24|Fieltro tejido
24|Fieltro y telas textiles no tejidas
24|Fieltros
24|Filtros de sonido hechos de paño, para aparatos de radio
24|Forros adaptados para canastas metálicas
24|Forros de tela para calzado
24|Fundas de almohada
24|Fundas de cojín
24|Fundas de edredón
24|Fundas para cojines
24|Fundas para colchones ajustables
24|Guantes de baño
24|Mantas
24|Mantas de lana
24|Mantas de regazo
24|Mantas de seda
24|Mantas de viaje
24|Mantas para bebés
24|Mantas para el regazo
24|Mantas para niños
24|Mantas para uso en exteriores
24|Manteles de materias textiles
24|Manteles individuales de materias textiles
24|Manteles individuales que no sean de papel
24|Manteles que no sean de papel
24|Materiales textiles sucedáneos hechos de materias sintéticas
24|Materias textiles
24|Materias textiles no tejidas
24|Materias textiles tejidas que imitan pieles de animales
24|Molesquín
24|Mosquiteros (colgaduras)
24|Paño para mesas de billar (fieltro)
24|Pañuelos de bolsillo de materias textiles
24|Posavasos textiles
24|Redes contra mosquitos tratadas con insecticida
24|Revestimientos de materias plásticas para muebles
24|Ropa blanca para uso doméstico, incluidas la toallitas de tocador
24|Ropa de baño
24|Ropa de cama
24|Ropa de cama y mesa
24|Ropa de cama y ropa de mesa
24|Ropa de mesa
24|Ropa de mesa de materias textiles
24|Ropa de mesa que no sea de papel
24|Ropa de mesa y cama
24|Sábanas
24|Sábanas ajustables
24|Sábanas de cama de plástico ( que no sean sábanas de incontinencia)
24|Sabanas de cuna
24|Servilletas de materias textiles
24|Tapetes de mesa de encaje que no sean de papel
24|Tapizados de materias textiles
24|Tapizados murales de materias textiles
24|Tejido de fibra semisintética
24|Tejido de gasa
24|Tejido de seda hilado a mano
24|Tejidos adhesivos termo-activados
24|Tejidos con base de algodón mezclado
24|Tejidos con base de cáñamo mezclado
24|Tejidos con base de lana mezclado
24|Tejidos de fibra de vidrio para uso textil
24|Tejidos de fibra química
24|Tejidos de fibra sintética
24|Tejidos de hilo de cáñamo
24|Tejidos de lana
24|Tejidos de lana hilada
24|Tejidos de lino
24|Tejidos de pelo
24|Tejidos de punto
24|Tejidos de punto de hilo de algodón
24|Tejidos de punto de hilo de fibra química
24|Tejidos de punto de hilo de lana
24|Tejidos de punto de hilo de seda
24|Tejidos de punto para vestir
24|Tejidos de ramio
24|Tejidos de residuos de algodón
24|Tejidos de seda
24|Tejidos de viscosa
24|Tejidos de yute
24|Tejidos elásticos mezclados
24|Tejidos elásticos para ropa de vestir
24|Tejidos estrechos
24|Tejidos mezclados con una base de seda
24|Tejidos mezclados de cáñamo y algodón
24|Tejidos mezclados de cáñamo y lana
24|Tejidos mezclados de cáñamo y seda
24|Tejidos para decoración de interiores
24|Tejidos para lencería
24|Tejidos para uso textil
24|Tejidos textiles para lencería
24|Tela ahulada
24|Tela de lana
24|Tela vaquera
24|Telas ahuladas
24|Telas con motivos impresos para bordar
24|Telas de algodón
24|Telas de fibra mixta
24|Telas de hilo de caucho recubierto para uso textil
24|Telas de hilo de fibra regenerada
24|Telas de lino
24|Telas de mezcla de fibra inorgánica
24|Telas de mezcla de lana y algodón
24|Telas de mezcla de seda y algodón
24|Telas de mezcla de seda y lana
24|Telas de pana
24|Telas de seda de hilado
24|Telas de tapicería
24|Telas impermeables engomadas
24|Telas pre-cortadas para costura
24|Telas tejidas de malla
24|Terciopelo
24|Textiles de satén
24|Textiles de tapicería
24|Textiles para impresión digital
24|Textiles utilizados como forro para prendas de vestir
24|Textiles y fieltros no tejidos
24|Toalla turca
24|Toallas (textiles) para su uso en la cocina
24|Toallas de algodón japonesas (tenugui)
24|Toallas de baño
24|Toallas de cara de materias textiles
24|Toallas de felpa
24|Toallas de golf
24|Toallas de manos
24|Toallas de materias textiles
24|Toallas de materias textiles para manos
24|Toallas de playa
24|Toallas grandes para baño
24|Toallas para niños
24|Toallas tipo turbante para secar el cabello
24|Toallitas faciales
24|Visillos
