class|name
31|Abulones vivos
31|Aceitunas frescas
31|Aceitunas sin elaborar
31|Achicoria roja fresca
31|Agar no procesado (alga de tengusa)
31|Aguacates frescos
31|Ajo fresco
31|Ajos verdes frescos
31|Alfalfa (alimento para animales)
31|Alforfón no procesado
31|Alga café no procesada (alga de hijiki)
31|Alga marina no procesada (alga kombu)
31|Alga marina no procesada (wakame)
31|Alga nori comestible sin procesar
31|Algas en polvo para consumo animal
31|Algas para la alimentación animal
31|Algas sin preparar para consumo humano
31|Alimento para el ganado
31|Alimento para peces de acuario
31|Alimento para roedores
31|Alimentos de base láctea para animales
31|Alimentos para animales
31|Alimentos para animales con extractos botánicos
31|Alimentos para carpas doradas
31|Alimentos para hámsteres
31|Alimentos para peces
31|Almendras frescas
31|Anguilas vivas
31|Animales de caza vivos
31|Animales de laboratorio vivos
31|Arándanos frescos
31|Árboles de Navidad cortados
31|Árboles de Navidad cortados y vivos
31|Árboles enanos en maceta (bonsái)
31|Arbustos
31|Arbustos vivos
31|Arena aromática para animales
31|Arena higiénica para gatos y animales pequeños
31|Arena para gatos
31|Arreglos de flores vivas
31|Arroz natural destinado a pienso para animales
31|Arroz sin procesar
31|Aves de corral vivas
31|Bacalao (vivos)
31|Bagazo de caña de azúcar crudo
31|Batatas frescas (camote)
31|Bebidas para animales
31|Bebidas para canes
31|Berenjenas frescas
31|Bloques de lamer sal para ganado
31|Bogavantes vivos
31|Bonsáis naturales
31|Brotes de frijol frescos
31|Bulbos de flores y bulbos
31|Bulbos de lirios comestibles, frescos
31|Bulbos para uso agrícola
31|Bulbos para uso hortícola
31|Caballa española viva
31|Cabras vivas
31|Cactus comestibles frescos
31|Calabacín fresco
31|Caña de azúcar
31|Cangrejos de nieve vivos
31|Capelán vivo
31|Capullos para la producción de huevos
31|Caquis frescos japoneses
31|Caracoles (vivos)
31|Caracoles de mar no vivos
31|Carnada viva
31|Carnadas vivas para la pesca
31|Carpas plateadas vivas
31|Carpines vivos
31|Castañas de agua frescas
31|Castañas frescas
31|Cebada sin procesar
31|Cebo vivo
31|Cebollas frescas
31|Cebollino fresco
31|Cebos (comida para el ganado)
31|Cerdos vivos
31|Cereales sin procesar
31|Chalotes no procesados
31|Champiñones frescos
31|Champiñones sin elaborar
31|Chícharos frescos
31|Chiles frescos
31|Chirivías frescas
31|Chucherías para perros (comestibles)
31|Ciruelas frescas
31|Cocos frescos
31|Col fresca
31|Coles de Bruselas frescas
31|Coles de brusselas frescos
31|Comida para animales
31|Comida para gatos
31|Copra
31|Corales vivos
31|Corales vivos de acuario
31|Corcho en bruto
31|Coronas de flores naturales
31|Corvinas amarillas vivas
31|Crisantemos coronados comestibles frescos
31|Espárragos frescos
31|Espinacas frescas
31|Esporas y huevas para uso agrícola
31|Flores cortadas
31|Flores frescas comestibles
31|Flores naturales
31|Flores secas
31|Flores vivas
31|Forraje para caballos
31|Frijoles frescos
31|Fruta fresca
31|Frutas orgánicas frescas
31|Frutas sin elaborar
31|Frutas, legumbres, verduras y hortalizas frescas
31|Frutillas frescas
31|Frutos frescos de espino
31|Galletas para perros
31|Gallinas vivas
31|Gambas vivas
31|Ganado
31|Ganado vivo
31|Gírgolas, frescas
31|Goji sin procesar
31|Golosinas comestibles para mascotas
31|Granos de cacao sin procesar
31|Granos sin procesar
31|Guirnaldas de flores naturales
31|Hámsteres
31|Harina de grano de soja (alimentación animal)
31|Harina de pescado para la alimentación animal
31|Helechos frescos (gosari)
31|Heno
31|Hierbas aromáticas orgánicas frescas
31|Hierbas de jardín frescas
31|Hierbas para uso culinario frescas
31|Hierbas secas para la decoración
31|Higos frescos
31|Hojas frescas de batata
31|Hongo velo de novia alargado fresco
31|Hongos gelatinosos blancos comestibles
31|Hongos negros comestibles frescos
31|Huesos de jibia para pájaros
31|Huesos masticables digestivos para perros
31|Huesos masticables para perros
31|Huevos de gusano de seda
31|Huevos fertilizados para incubar
31|Huevos para incubar
31|Jengibre crudo
31|Jengibre fresco
31|Kiwis frescos
31|Langostas vivas
31|Langostinos vivos
31|Leche en polvo para animales
31|Leche en polvo para mascotas
31|Lechuga de mar no procesada (alga de aosa)
31|Legumbres frescas
31|Lenguados vivos
