class|name
13|Aerosoles de defensa personal
13|Ametralladoras
13|Aparatos de detonación para volar minas submarinas
13|Armas automáticas
13|Armas de fuego
13|Armas de fuego automáticas
13|Armas de protección con gas lacrimógeno
13|Armas eléctricas dirigidas
13|Armas pesadas
13|Balas para pistolas de aire comprimido
13|Bípodes para armas de fuego
13|Bolsos especialmente adaptados para transportar rifles
13|Bombas (armamento)
13|Bombas aéreas
13|Bombas de gas (armas)
13|Cabezas explosivas de infrarrojos para cohetes de defensa
13|Cajas de fusil
13|Cananas
13|Cañones (piezas de artillería)
13|Cañones antiaéreos
13|Carabinas
13|Carcasas de fuegos artificiales
13|Carga explosivas de profundidad
13|Cargadores para armas pequeñas
13|Cargas pirotécnicas
13|Cartuchos cebo
13|Cartuchos de escopeta
13|Cartuchos explosivos
13|Cartuchos incendiarios
13|Cartuchos para ametralladoras
13|Cartuchos para pólvora
13|Cartuchos para productos pirotécnicos
13|Cartuchos para rifle
13|Cartuchos para rifles para la caza
13|Cebos para explosivos
13|Cohetes (proyectiles)
13|Cohetes de observación
13|Correas para fusiles
13|Culatas de fusil
13|Cureñas de cañones
13|Dinamitas
13|Dispositivos de explosión
13|Elevadores de carga para municiones
13|Estuches para armas de fuego
13|Estuches para pistolas y rifles
13|Explosivos líquidos
13|Fuegos artificiales
13|Fuegos artificiales en formas de cartucho
13|Fuegos de señalización
13|Fundas combinadas para armas de fuego y municiones
13|Fundas para fusiles
13|Granadas de mano
13|Iniciadores (detonadores cebo)
13|Lanzadores para bombas
13|Mechas para explosivos
13|Mezclas pirotécnicas de propulsión para municiones y motores de cohetes
13|Minas (explosivos)
13|Minas antitanque
13|Minas marinas
13|Minas submarinas
13|Miras de armas de fuego
13|Miras de espejo para rifles
13|Misiles aire-superficie
13|Misiles balísticos propulsados por cohete
13|Misiles productores de humo para tanques y vehículos acorazados
13|Morteros (armas de fuego)
13|Municiones para armas de fuego
13|Municiones para rifles
13|Nitrocelulosa
13|Obuses
13|Petardos
13|Piezas de artillería de largo alcance
13|Pistolas
13|Pistolas de aire comprimido
13|Pistolas de bengalas
13|Pistolas paralizantes
13|Pistolas sin retroceso
13|Placas de culata para escopetas
13|Plataformas de tiro
13|Pólvora negra
13|Pólvora para pistolas
13|Polvos explosivos
13|Proyectiles de artillería guiados
13|Proyectiles perforantes
13|Proyectiles pirotécnicos
13|Proyectiles productores de humo
13|Proyectiles productores de humo para cohetes
13|Receptores de cartuchos para armas de fuego automáticas
13|Revólveres
13|Revólveres automáticos
13|Rifles militares
13|Rifles para la caza (rifles de deporte)
13|Señales de humo explosivas luminosas
13|Silenciadores para armas
13|Sistemas de recarga automática de armas de fuego
13|Tapones detonantes
13|Torpedos
