class|name
34|Aparatos de bolsillo para liar cigarrillos
34|Aparatos de bolsillo para liar sus propios cigarrillos
34|Aromatizantes para cigarrillos electrónicos, que no sean aceites esenciales
34|Boquillas de metales preciosos para cigarrillos
34|Boquillas para cigarrillos
34|Boquillas para cigarrillos que no sean de metales preciosos
34|Boquillas para puros
34|Botes para tabaco
34|Cajas de metales preciosos para puros y cigarrillos
34|Cajas humidificadas para puros
34|Cajas para cerillos que no sean de metales preciosos
34|Cajas para fósforos
34|Cajas para fósforos de metales preciosos
34|Cajas para fósforos que no sean de metales preciosos
34|Ceniceros
34|Ceniceros de metales preciosos
34|Ceniceros para fumadores de metales preciosos
34|Ceniceros para fumadores que no sean de metales preciosos
34|Ceniceros que no sean de metales preciosos
34|Cerillos de azufre
34|Cerillos de fósforo amarillo
34|Cerillos de parafina
34|Cigarreras que no sean de metales preciosos
34|Cigarrillos
34|Cigarrillos electrónicos
34|Cigarrillos electrónicos para su uso como una alternativa a los cigarrillos tradicionales
34|Cigarrillos mentolados
34|Cortapuros
34|Dispositivos de bolsillo para liar sus propios cigarrillos
34|Dispositivos electrónicos y sus partes (comprendidos en esta clase) para calentar cigarrillos o tabaco para liberar aerosol que contiene nicotina para inhalar
34|Dispositivos para calentar tabaco para su inhalación
34|Encendedores de cigarrillos que no sean de metales preciosos ni para automóviles
34|Encendedores de cigarros
34|Encendedores para fumadores (encendedores de cigarrillos) que no sean para automóviles
34|Encendedores que no sean de metales preciosos ni para automóviles
34|Estuches de puros que no sean de metales preciosos
34|Filtros para cigarrillos
34|Filtros para tabaco
34|Fosforeras
34|Fósforos
34|Fósforos de seguridad
34|Fundas para pipas largas de tabaco asiáticas
34|Hojas de tabaco
34|Humidificadores para puros
34|Latas de tabaco
34|Limpiapipas
34|Máquinas de bolsillo para liar cigarrillos
34|Máquinas para liar cigarrillos
34|Molinillos de tabaco
34|Narguiles (pipa oriental)
34|Narguilés electrónicos
34|Papel absorbente para pipas
34|Papel de fumar
34|Papel para enrollar cigarrillos
34|Petacas para tabaco
34|Piedras de encendedor de bolsillo
34|Piedras de encendedor y pedernales
34|Pipas de fumar electrónicas
34|Pipas de madera
34|Pipas largas para tabaco asiáticas (kiseru)
34|Pipas mentoladas
34|Pipas para fumar
34|Pipas para tabaco que no sean de metales preciosos
34|Pitilleras
34|Pitilleras automáticas
34|Pitilleras hechas de metales preciosos
34|Prensadores para pipas
34|Puntas de filtros de cigarrillos
34|Pureras
34|Puros
34|Puros electrónicos
34|Rapé (tabaco en polvo)
34|Soluciones de nicotina líquida para su uso en cigarrillos electrónicos
34|Sucedáneos del tabaco
34|Sucedáneos del tabaco que no sean para uso médico
34|Tabaco
34|Tabaco aromatizado
34|Tabaco de hookah
34|Tabaco de mascar
34|Tabaco de pipa mentolado
34|Tabaco desmenuzado japonés (kizami tobacco)
34|Tabaco mentolado
34|Tabaco para cigarrillos
34|Tabaco para fumar
34|Tabaco para liar
34|Tabaco para pipas
34|Tabaco sin humo
34|Tabaco, puros y cigarrillos
34|Tabaqueras (cajas para rapé)
34|Tabaqueras (cajas para rapé) de metales preciosos
34|Tabaqueras (cajas para rapé) que no sean de metales preciosos
34|Tubos para cigarrillos
