class|name
4|Aceite de alquitrán de hulla
4|Aceite de pescado para uso industrial
4|Aceite de ricino no comestible
4|Aceite lubricante para motores de vehículos automóviles
4|Aceite mineral para motores
4|Aceite mineral para uso en la fabricación de cosméticos y productos para el cuidado de la piel
4|Aceite para alumbrado
4|Aceite para conservar obras de albañilería
4|Aceite para motor
4|Aceites combustibles
4|Aceites de calefacción
4|Aceites de coco para uso industrial
4|Aceites de corte
4|Aceites de ensimaje
4|Aceites de iluminación
4|Aceites de motor
4|Aceites de nuez para uso industrial
4|Aceites endurecidos (aceites hidrogenados para uso industrial)
4|Aceites lubricantes
4|Aceites lubricantes (lubricantes para uso industrial)
4|Aceites lubricantes minerales
4|Aceites lubricantes para máquinas de coser
4|Aceites lubricantes sintéticos
4|Aceites para desmoldar
4|Aceites para engranajes
4|Aceites para motores de automóviles
4|Aceites para uso industrial
4|Aceites pesados
4|Aceites y grasas lubricantes
4|Aceites y grasas minerales para uso industrial que no sean para combustible
4|Aceites y grasas para conservar el cuero
4|Aceites y grasas para uso industrial que no sean para combustible
4|Aditivos no químicos para aceite de motores
4|Aditivos no químicos para aceites y combustibles
4|Aditivos no químicos para carburantes
4|Aditivos no químicos para combustibles, lubricantes y grasas
4|Aglomerados de carbón
4|Alcohol (combustible)
4|Alcoholes metílicos para combustible (alcoholes de combustible desnaturalizados)
4|Antracita
4|Biocarburantes
4|Biocombustibles
4|Briquetas combustibles (briquetas de carbón)
4|Briquetas de carbón de leña
4|Briquetas de madera
4|Candelas
4|Carbón (combustible)
4|Carbón de leña (combustible)
4|Carbón en trozos
4|Cera de carnauba
4|Cera de zumaque
4|Cera para skateboards
4|Cera para snowboards
4|Cera para tablas de surf
4|Cera parafina
4|Ceras (materia prima)
4|Combustible a base de petróleo crudo
4|Combustible biodiesel
4|Combustible diésel
4|Combustible para aviación
4|Combustible para encendedores
4|Combustible para lámparas
4|Combustibles
4|Combustibles a base de alcohol
4|Combustibles a base de carbón
4|Combustibles de etanol
4|Combustibles de motor
4|Combustibles de origen biológico
4|Combustibles gaseosos
4|Combustibles líquidos
4|Combustibles para cocinar
4|Combustibles para la iluminación
4|Combustibles sólidos
4|Composición granular absorbente a base de aceite para absorber derrames de los suelos
4|Composiciones para asentar el polvo
4|Compuestos de supresión de polvo a base de petróleo
4|Coque
4|Diésel
4|Gas butano (combustible)
4|Gas de carbón
4|Gas licuado de petróleo
4|Gas licuado para encendedores de cigarrillos
4|Gas natural
4|Gas natural a presión
4|Gas natural licuado
4|Gas solidificado (combustible)
4|Gases combustibles
4|Gases licuados de petróleo
4|Gases licuados de petróleo para uso doméstico, industrial y en vehículos automóviles
4|Gasóleo para calefacción doméstica
4|Gasolina
4|Gasolina (carburante)
4|Gasolina (combustible)
4|Gasolina para uso industrial
4|Grafito como lubricante
4|Gránulos de combustible
4|Grasa para máquinas
4|Grasas para uso industrial
4|Grasas para usos técnicos
4|Hidrocarburos combustibles
4|Lanolina para fabricación de cosméticos
4|Leña
4|Lignito
4|Ligroína
4|Líquido de encendedores de cigarrillos
4|Lubricantes de motores de vehículos
4|Lubricantes para cadenas de bicicleta
4|Lubricantes para máquinas
4|Lubricantes para perforación
4|Lubricantes para uso industrial
4|Mechas de lámpara
4|Mechas para estufas de aceite
4|Mechas para velas
4|Mechas para velas de iluminación
4|Nafta
4|Papel de iluminación
4|Parafina
4|Parafinas industriales
4|Pastillas de madera para la calefacción (combustibles)
4|Petróleo
4|Petróleo artificial
4|Petróleo crudo
4|Petróleos crudos
4|Polvo de carbón (combustible)
4|Productos para encender el fuego
4|Productos para encender el fuego (madera para el encendido)
4|Queroseno
4|Sebo
4|Velas (iluminación)
4|Velas aromáticas
4|Velas de fragancia para aromaterapia
4|Velas de sebo
4|Velas para iluminación nocturna
4|Velas para los oídos de uso terapéutico
4|Velas perfumadas
4|Velas que contienen repelentes de insectos
4|Velas y mechas para velas de iluminación
4|Virutas de madera para encender el fuego
4|Yesca
